text,class
a north carolina man facing murder charges in the death of cristie schoen codd a finalist on food network star had human remains in his woodstove authorities say.,CNN
inas strawberry country cake,Food Network
this is the tiniest breed of cat with the biggest voice,Animal Planet
just in tennis star maria sharapova has admitted to failing a drug test taken at the australian open,CNN
ellen degeneres and portia de rossi celebrate a decade of love. see 25 more selifes of the week,CNN
dont mess with mama,Animal Planet
the report says marine capt. jeff kuss flying blue angel number 6 was going too fast and was not high enough when he attempted a split s maneuver,CNN
youve got islands. youve got high seas. weve got storms gales hostile wildlife polar bears walruses icebergs,CNN
two are accused of slaughtering their families. one is a dangerous child molester who escaped from custody. find out more about these fugitives and join john walsh in his quest to track them down tonight at 9p et on cnn. jointhehunt,CNN
kaci hickox a nurse under mandatory ebola quarantine in new jersey tells cnn the knee-jerk reaction by politicians was not well planned out. our interview with her on cnn state of the union at noon et or watch on cnngo,CNN
ladies and gentleman... an egg inside a muffin. who has a clever name to suggestget the recipe,Food Network
sharks race around this tank which was built just in time for the grand opening of the claw house,Animal Planet
the mayor of st. louis has called on the public to provide police with any information that may lead to the gunmans arrest,CNN
after spending most of her life living a kennel gidget finally gets to call a house her home,Animal Planet
why would a group of soldiers mercilessly kill one of their own paula hancocks investigates,CNN
hes not monkeying around.,Animal Planet
dont buy every gimmicky kitchen tool you hear about,Food Network
recipe of the day rachaels cheesy spinach artichoke dip,Food Network
root on your fave baseball team with cake pops in hand,Food Network
lun lun has given birth to her two cubs see if you can catch of glimpse of the newborns,Animal Planet
blink and youll miss it,Animal Planet
an underwater explorer thinks he has found the wreckage of christopher columbus ship santa maria.,CNN
astronomers engaged in the search for extraterrestrial intelligence are training their instruments on a star around 94 light years from earth after a very strong signal was detected by a russian telescope,CNN
happy july4th weekend the dogbreedoftheday is the boston terrier one of the first breeds to originate from the usa. learn more about this american dog here,Animal Planet
blueberry corn mini muffins via the pioneer woman - ree drummondsave her recipe,Food Network
as a primer for cnns guns in america town hall meeting with president obama tonight heres a look at the evolution of gun laws in america gunsinamerica,CNN
do you love mcdonalds coffee soon youll be able to start your day with one without going to mcdonalds,CNN
set your reminders a new season of tanked is on the way,Animal Planet
clear your schedules for spinach artichoke beef wellingtonget the recipe,Food Network
the bobs dont have a whole lot of core muscles because they just dont live very long. alton brown,Food Network
experts believe el nino is bringing these snakes so far north,Animal Planet
us official says russias claim would be laughable if it werent for humanitarian suffering russia has inflicted,CNN
sarah palin former governor of alaska says its time to impeach president obama. she says his inaction on the escalating immigration crisis is the last straw that makes the battered wife say no mas. do you agree one lawmaker responds to palins comments on erin burnett outfront,CNN
dont ever mess with a hungry alligator,Animal Planet
super gooey chocolate dropsget this insanely good recipe,Food Network
pizza nights are the best nights. which pizzeria in your state is your fave,Food Network
good job mom,Animal Planet
think you can cut it as a campcutthroat camper take the culinary competency quiz to earn your merit badge in knife skills and watch every wednesday at 98c,Food Network
make it a sweet sunday with inas fan-favorite recipemore 5-star recipes,Food Network
happy birthday betty white,CNN
rainbow mimosas make brunch even better,Food Network
she was thousands of miles away in saudi arabia when she was told her 4-year-old daughter had been killed back in alabama. she left the army buried in grief and spent a decade living in her van in parks and in shelters. after getting help she now helps other vets find housing.,CNN
a new jersey father has been ordered to pay child support for one twin but not the other after dna tests show hes not the dad of both children.,CNN
one of the storm systems rumbled through illinois just south of the chicago area. both ohare and midway airports were experiencing flight delays due to strong thunderstorms.,CNN
our feline friends deserve top-notch care. learn some of the best ways to care for your cat in this interactive photo gallery.,Animal Planet
check out this entry for the first  cat video festival presented by the walker art center,Animal Planet
they all have faces only jeremy wade could love,Animal Planet
happy birthday bobby flaycelebrate with a big slice of his top-rated red velvet cake or another fan-fave,Food Network
about 10000 migrant children who traveled to europe are currently unaccounted for europol says,CNN
magic mushrooms in norway so thats how santas reindeer fly high,Animal Planet
keep dinner simple with easy peasy cheesy gnocchi casserole,Food Network
dead or alive a dna test may reveal answers,CNN
drop the mic at your game-day party with six foot nachos,Food Network
the amount of tranquilizer needed to sedate this male elephant in order to get a blood sample could kill a human in seven seconds,Animal Planet
banana bread oatmeal is definitely worth waking up for via spoon university,Food Network
usually i get used to the barrel bombs and i could sleep normally -- but now i cant -- the new missiles are so loud and horrifying,CNN
17 works of art you can drive. via cnn style,CNN
gorgeous homemade caramelized onions bring an easy sweetness to this creamy classic dip best scooped up with fresh crunchy veggies like carrots and celery,Food Network
a behind-the-scenes legal showdown is brewing over whether prominent death penalty opponent sister helen prejean can testify on behalf of boston marathon bomber dzhokhar tsarnaev.,CNN
join treehouse masterss pete nelson in a little backyard diy as he designs and builds a free-standing hammock,Animal Planet
pour some gravy on me.- the pioneer woman - ree drummonds salisbury steakdont keep it waiting,Food Network
there were no signs of trauma no clues of any violence or foul play. investigators are trying to determine how five family members died in this home over the weekend,CNN
a herd of columbian mammoths once roamed the area now occupied by the city of waco texas.,CNN
chinas tianhe-2 became the fastest supercomputer in the world in 2013 beating the american titan. barack obama thinks its time to bring that title back home,CNN
it remains to be decided whether bernie sanders base will be willing to fall in line behind the ultra-establishment hillary clinton writes buck sexton for cnn opinion,CNN
shaun and tom will stop at nothing to rescue cats stuck in trees. watch a sneak peek of treetop cat rescue and tune in for the series premiere may 30 at 98c,Animal Planet
this press conference didnt quite go as planned for fifa president sepp blatter,CNN
thats 150 times as much as a similar station in pakistan,CNN
guacamole with a twist,Food Network
george mason university realized their new law school name created a ... problematic acronym,CNN
the state is preparing for double trouble but many residents arent too worried. see the projected path of what could be a pair of back-to-back smacks,CNN
story of a moms life. yawn mothersday watch,Animal Planet
they didnt say the species involved. the announcement comes amid outrage over the death of cecilthelion,CNN
since before he was elected u.s. president barack obama pledged to shut down gitmo. now a report says his plan has hit a new hurdle.,CNN
ugly or misunderstood,Animal Planet
you can get dried pasta anywhere opt for fresh pasta this weekend with our simple tips,Food Network
prisoners across the u.s. are protesting a system they say treats them like slaves,CNN
its the active ingredient in tylenol and many other over-the-counter medications. here are five things you should know about this popular painkiller,CNN
by their courage they saved lives meet the childhood friends who stopped a potential train massacre on friday,CNN
wes craven the visionary filmmaker behind horror classics a nightmare on elm street and scream dies at 76.,CNN
a new study has found some hard evidence for the much talked-about seasons of divorce and one of them is coming up,CNN
we all need a little monday motivation,Animal Planet
warden richardson is following up on some intel he received about bear bait that has been placed too close to a home,Animal Planet
it comes together one step at a time,Animal Planet
go inside one of the most prestigious veterinary programs in the world,Animal Planet
penn vet student max has to step up and act like a vet when harrys heart rate drops under anesthesia,Animal Planet
icymi never buy bad meat or fish again with our tips,Food Network
there are hundreds of scams trying to make a buck off your desperation and hope,CNN
pancake flipping gone wrong grandmas lasagna and the often-overlooked meal dinner for breakfast,Food Network
ill tell you whats in the box...doom - alton brown find out whats really inside on the cutthroat kitchen after-show,Food Network
a list of the worlds safest airlines has just been released. guess who tops it,CNN
hello... its me. - your slow cooker ready to be dusted off,Food Network
warning cuteness ahead. viewer discretion is advised,Animal Planet
find out what goes on in the chopped junior stew room,Food Network
three cheers for jalapeo-stuffed curly dogs,Food Network
parmesan. smashed. potatoes. nuff said,Food Network
recipe of the day fan-favorite cream of fresh tomato soup,Food Network
you can make cheese in the microwave yes its possible,Food Network
a panicked moose is a big problem,Animal Planet
squeal,Animal Planet
like when you go with your wife to a restaurant there is dancing so you hold your wife to dance. youre happy to dance. when i go to poncho i feel happy. watch,Animal Planet
these large cats are believed to be descended from marie antoinettes felines. guess who,Animal Planet
setting a land speed record in a hot tub,CNN
inas 5-star herb-roasted turkey breastget the thanksgiving recipe,Food Network
reunited and it feels so good,Animal Planet
whats your favorite thing to make in a cast-iron pan these 10 ideas may surprise you,Food Network
the aviation world is abuzz with reports that a group of concorde fans may have raised enough money to get the supersonic jet back in the skies.,CNN
find out which 16 chefs are returning for another shot at guy fieris grocery games,Food Network
why bark when you can yodel get to know this ancient breed,Animal Planet
more than 3700 migrants died crossing the mediterranean in an attempt to reach europe in 2015,CNN
dog breed of the day this protective breed is the dog in sheeps clothing much to the chagrin of hungry wolves everywhere. watch,Animal Planet
the search for the ships voyage data recorder the so-called black box that is housed on the bridge continues,CNN
dr. terry heads to santa claus house in north pole alaska to check on cupid a reindeer that appears to be having respiratory issues,Animal Planet
do something relevant please dont speak on me bro ever again,CNN
researchers say that 60 of cancer deaths can be prevented with a healthier lifestyle. start with your diet,Food Network
an illinois woman credits youtube for helping her lose 180 pounds. hear her inspiring story and learn how she did it,CNN
icymi try trishas snickerdoodles recipe asap save it here,Food Network
find out who gets the last laugh on tonights foodnetworkstar improv challenge at 98c,Food Network
see the heart-stopping moment a giant boulder barreled downhill directly towards a massachusetts church.,CNN
four of the five girls joshduggar molested were his sisters their parents said in an interview with fox news anchor megyn kelly. via cnnmoney,CNN
learn about washington states unique method of releasing bears back into the wild,Animal Planet
thank you david,Animal Planet
this man cant handle these whales right now.,Animal Planet
keep the prep time to a minimum with a few easy tips,Food Network
just in egyptair flight 804s cockpit voice recorder indicates there was an attempt to put out a fire on the plane before it crashed a source from the airline told cnn,CNN
think youve seen it all from monsters inside me think again,Animal Planet
if you want some luck then take a look at the khao manee. this mystical cat is a healthy breed which requires weekly brushing,Animal Planet
its not softwood lumber or alberta crude oil thats dividing the two stalwart partners. its maple syrup,CNN
as jeremy wades hunt for a face-eating fish continues he makes a disturbing discovery,Animal Planet
no baking is necessary to create no-bake peanut butter chocolate bars. no one has to know they are light,Food Network
make your own pumpkin spice latte with our recipe,Food Network
fruit basket...or fruit cake actually its both,Food Network
a 25-year-old whiz kid creates stunning intricate imagery using mathematical formulas. see examples of his work,CNN
i think we have one of two choices. -- ted cruz,CNN
dr. baier and hector travel to the zoology foundation in larkspur colorado to administer rabies vaccines to two rescued wallabies,Animal Planet
cinnamon baked french toast for your sunday brunch via the pioneer woman - ree drummond,Food Network
well hello there,Animal Planet
poor champ,Animal Planet
harris wittels a comedian and executive producer of the nbc show parks and recreation has died of a possible overdose police said thursday. he was 30.,CNN
write a love letter to alfredo tonight with one of our top 5 recipes,Food Network
will their cute faces save them from the naughty list,Animal Planet
as temperatures rise flu season gives way to summer bite season. heres how to deal with insect encounters,CNN
from awww to ahhh,Animal Planet
were you planning to fix yourself a bowl of cereal today good choice it just might hold the key to a longer life,CNN
make sure youre home is catified,Animal Planet
read altons take on sundays food network star elimination,Food Network
indulge your sweet desires without spoiling your diet,Food Network
the rush of water was so intense it washed the two vehicles hundreds of yards downstream and one vehicle was found a quarter mile away in the creek. details here,CNN
following the terror attacks in paris the fbi is very closely monitoring dozens of people they think pose the highest threat of attempting to carry out a copycat attack in the u.s,CNN
according to a study published today in peerj bonobos communicate similarly to human infants which means baby-talk may not be uniquely human.,CNN
tanked reveal pete roses baseball-themed tank is a grand slam,Animal Planet
black lawmakers delivered an emotional and sometimes searing plea for gun control friday in response to the dallas killings,CNN
the population had been decimated by illegal hunting with an estimated 65 percent decline between 2002 and 2013 according to researchers,Animal Planet
find halloween tricks and treats in this months food network magazine,Food Network
turn potato chips into winning chocolate-covered footballs for game day,Food Network
relive michael symons quest for the best burgers brew and que before a new season begins tomorrow at 109c,Food Network
the skunk whisperer saved this poor skunk,Animal Planet
can you imagine thinking your pet is lost forever then seeing it ,Animal Planet
sunnys breakfast enchiladas will give you the boost you need todayget the recipe,Food Network
catch up before tonights new superstar grocery games at 87c,Food Network
some have mayors who determine the rules of the camp and who can and cant join others are a free-for-all. some are overflowing with trash old food human waste and drug paraphernalia others are relatively clean and drug-free.,CNN
use mason jar lids for perfect individual blueberry peach pies genius. get the recipe,Food Network
just in at least six explosions have hit two cities in thailand since thursday evening according to police officials. at least two people are confirmed dead,CNN
a search is underway for a missing cruise ship passenger who may have gone overboard in the gulf of mexico,CNN
jeremy wade comes across his first striped marlin while fishing in the sea of cortez,Animal Planet
curious energetic and mischievous the ferret is considered the clown of the animal world and they were even kept as pets by royalty,Animal Planet
oh hello there perfect party bite let duff goldman show you how to make mini danishes with goat cheese and pear filling for your next soiree preview below,Food Network
spacex said weather forced it to scrub a plan to launch a falcon 9 rocket and land part of it on a platform floating in the ocean. see the latest details on the mission,CNN
francesco has moved in with teresa and her cat pootie but its clear who is the boss of this household. hint its not francesco,Animal Planet
poor baby,Animal Planet
your sunday just got a whole lot sweeter thanks to cooking channel,Food Network
pile small plush rolls high with everything you love about buffalo chicken blue cheese ranch dressing and of course that fiery tender chicken,Food Network
earl simmons the rapper known as dmx is on the mend after he was found unconscious in a hotel parking lot,CNN
wolfgang ballinger 21 is accused of attempted rape and sexual assault,CNN
joyce mitchell would bring baked goods to guards in exchange for favors for the 2 killers who escaped a law enforcement source said.,CNN
your cast iron pan is pretty much a superhero.10 unexpected things to cook in it,Food Network
sauerkraut in chocolate cake will it workfind out on tonights holiday baking championship premiere at 98c,Food Network
cast your vote enter to win prizes,Food Network
orphan blacks clone club expands game of thrones returns 6 things you cant miss  this week.,CNN
ocean blue boozy milkshakeshappy hour never looked this good get the recipe,Food Network
keep it simple and delicious this am,Food Network
along the u.s.-mexico border are underground tunnel-like holes and makeshift tents where people live stuck in border purgatory. the stench makes it hard to breathe and its harder still to fathom how any human being could live in these conditions.,CNN
dog breed of the day say hello to the adorable frenchie the pup notorious for being more interested in being pleased than pleasing you watch,Animal Planet
goldfish grow to huge sizes after being illegally dumped into waterways concerning canadian officials.,CNN
tony hawk makes his chopped junior debut,Food Network
jeremy wade details his battle with a short-tailed freshwater stingray. jeremys equipment almost snaps hauling this freshwater horror to shore,Animal Planet
if vladimir putin wants to launch airstrikes inside syria thats no problem for donald j. trump the mogul said. trumponcnn,CNN
what was your favorite food as a kidshare in the comments and see what the chopped junior judges have to say,Food Network
gymnastics are hard,Animal Planet
who is behind these 5 fires investigators and authorities say the answer isnt simple,CNN
sonia suffers from severe glaucoma and needs to have her eye removed. the surgery is tricky so dr. dee must proceed with caution,Animal Planet
think allergies prevent you from having a furry friend a hypoallergenic pet may change things,Animal Planet
tis the season of holidaybestfest - watch animal  lives cute channel,Animal Planet
avoid office refrigerator politics with 10 lunchtime foods that dont need refrigeration,Food Network
but ugly sweater parties are the best,Animal Planet
love a layered sandwich join the club with these 3 variations,Food Network
they say the tegu is as smart as dogs,Animal Planet
outdoor eating calls for an exciting alternative thats just as easy to make zesty on-the-go burritos wrapped up with shredded beef marinated in chile-lime sauce,Food Network
youve better have plenty of energy to catch up to these spunky dogs,Animal Planet
overnight oats are a runaway hit a little prep tonight will make your morning as easy as 1-2-3,Food Network
heres what folks in donald j. trumps ancestral german village think of him,CNN
this is the most expensive city in the world,CNN
imagine waking up to something like this on your leg,Animal Planet
this is said to be the first time a police robot has been involved in a civilians death,CNN
have you ever asked your dog whos a clever boy,CNN
ashleigh stumler thought she was dizzy but an earthquake was roiling mount everest. stumler survived but others did not. and still others are missing.,CNN
can jackson galaxy find out whats bothering lux the 911 cat from portland watch this sneak peek of tonights all-new animal planets my cat from hell at 87c,Animal Planet
the villalobos rescue center family comes together to help others in need,Animal Planet
would you pay to cut in line for the toilets on a flight see the perks many travelers are willing to pay for,CNN
ready for your closeup,Animal Planet
leonard robinson was a good samaritan who visited children in hospitals dressed as batman. he was 51.,CNN
